PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por cliente
01 Abril 2024 - 11 Fevereiro 2026


Cliente ,Vendas 
CF3296 FLAVIA MARIA D FREITAS GUIMARÃES,"R$43.500,00"
CF4169 Rodrigo B da Silva,"R$556,00"
CF4319 Marcela P Soares,"R$556,00"
CF4379 ELZIANIR PEREIRA CÔRTES,"R$202.417,60"
CF4394 FERNANDA D PINHEIRO,"R$556,00"
CF4409 RITA DE CASSIA P PINHEIRO,"R$1.112,00"
CF4458 ELAINE CRISTINA DOS SANTOS DE ARAUJO,"R$556,00"
CF4462 ONILDE DE SOUZA SILVA,"R$556,00"
CF4465 SERGIO GAYOSO MONTEIRO FONSECA,"R$556,00"
CF4481 ELSO ALVES DE CASTRO,"R$545,00"
CF4547 PEDRO CAMPOS DE SOUSA,"R$420,00"
CF4553 LUZIA AQUINO SANTA ROSA,"R$420,00"
CF4554 HEITOR SOARES CARVALHO,"R$840,00"
CF4555 AMÉRICA FERREIRA DE ANDRADE,"R$1.112,00"
CF4557 JURACY ARAUJO,"R$1.152,00"
CF4564 ADRIANA MARIA D DE GUSMÃO COSTA SARMENTO,"R$556,00"
CF4571 MIGUEL RIBEIRO SELLA,"R$556,00"
CF4584 CARLOS ALBERTO DE ROSE SOUZA,"R$556,00"
CF4586 GILBERTO DA SILVA LEITE,"R$556,00"
CF4587 MARIA DAS NEVES DA SILVA,"R$1.112,00"
CF4588 DELVA PEREIRA MENDES,"R$1.112,00"
CF4594 MARIA DEOLINDA FERREIRA DA SILVA,"R$556,00"
CF4597 IRENE REIS DE AZEVEDO DA SILVA,"R$556,00"
CF4610 CRISTIANE ALMEIDA RODRIGUES,"R$556,00"
CF4613 PATRÍCIA CORREA DA SILVA,"R$556,00"
CF4614 ENEIDA LIMA SAMUEL DE ALMEIDA,"R$1.668,00"
CF4620 MARIA MIRIAM DE OLIVEIRA,"R$1.112,00"
CF4635 TEREZA MOGAMI,"R$556,00"
CF4643 FRANCISCO DE ASSIS CARNEIRO DA SILVEIRA,"R$1.616,96"
CF4644 JOÃO CARLOS FERREIRA,"R$556,00"
CF4664 JOAO FRANCISCO P NETTO,"R$2.263,39"
CF4669 FABIO L DOS SANTOS,"R$2.374,13"
CF4706 FATIMA MORGADO BRITTO,"R$556,00"
CF4713 WANDA ESTEVAM COELHO,"R$556,00"
CF4727 MAGALI DA COSTA ALVES,"R$576,00"
CF4732 SÔNIA VASCONCELOS MACHADO,"R$556,00"
CF4735 ANTÔNIO LUCAS FARIA DA SILVA LIMA,"R$556,00"
CF4736 EMILIA DE FRANÇA ROSA,"R$556,00"
CF4738 ROSANGELA APARECIDA MENDONÇA LEITE,"R$556,00"
CF4739 JOEL DUARTE SABINO,"R$30.000,00"
CF4740 MARCELO VIANA GUIMARAES,"R$18.789,61"
CF4746 GILMAR ANTONIO CANDIDO,"R$556,00"
CF4754 FLAVIA LIMA DE OLIVEIRA CAPINAN,"R$556,00"
CF4762 MARCELO BARRETO DA SILVA,"R$556,00"
CF4769 CLAUDIA SANTANA DE SOUZA CORREA,"R$556,00"
CF4775 MARIA LUCIA MERÇON,"R$312,81"
CF4776 VALERIA FERREIRA SODRE MONICA,"R$556,00"
CF4790 MARCELLA MONNERAT DE SOUZA MACHADO,"R$556,00"
CF4806 RICARDO R OLIVERO,"R$104,40"
CF4938 Glenio Jose Martins,"R$11.250,00"
CF4973 LUCAS SILVEIRA DE ALMEIDA,"R$1.978,00"
CF4974 POOL RESCUE,"R$19.780,00"
CF5386 RENATA TOLEDO LOPES CHIARELI,"R$25.699,60"
CF5469 CARLA MOREIRA ALBHY,"R$2.336,33"
CF5513 FELIPI ZAMBON,"R$25.699,67"
CF5543 ALEX REIS FERREIRA,"R$14.017,96"
CF5568 GABRIEL LEIVAS PROTO,"R$17.273,16"
CF5573 GERMANO DALFITO,"R$2.336,33"
CF5577 ALEXANDRE DURAO ALVES PEREIRA,"R$2.336,33"
CF5643 ALINE CRISTINA FIORAVANTI LUIS ALIONIS,"R$7.229,40"
CF6215 MATEUS INACIO LEMES DE RESENDE,"R$4.699,20"
CF750 MARIA ANGELA PARANHOS TROTTA,"R$870,00"
CJ003 HOSPITAL DA LUZ VILA MARIANA - SAO PAULO - SP,"R$2.041,67"
CJ006 AMIL ASSISTENCIA MEDICA INTERNACIONAL - RIO DE JANEIRO - RJ,"R$3.122.230,43"
CJ013 AV FARMA ASSISTENCIA E SERVICOS FARMACEUTICOS - RIO DE JANEIRO - RJ,"R$1.900.349,72"
CJ016 BRADESCO SAUDE - RIO DE JANEIRO - RJ,"R$19.701.582,18"
CJ018 CABERJ - NITEROI - RJ,"R$201.654,30"
CJ020 CABERJ  - RIO DE JANEIRO - RJ,"R$150.089,84"
CJ021 CASSI - RIO DE JANEIRO - RJ,"R$2.579.310,22"
CJ028 CEMED CARE TIJUCA - RIO DE JANEIRO - RJ,"R$652.101,27"
CJ032 CTO - TRES RIOS - RJ,"R$1.356.764,08"
CJ033 CTO - PETROPOLIS - RJ,"R$1.209.790,48"
CJ036 CENTRON - CENTRO DE TRATAMENTO ONCOLOGICO - RIO DE JANEIRO - RJ,"R$69.858,75"
CJ045 CMS CENTRAL DE MANIPULACAO - BARRA DA TIJUCA - RJ,"R$395.374,29"
CJ046 COI CLINICAS ONCOLOGICAS INTEGRADAS - BARRA DA TIJUCA - RJ,"R$4.590.071,23"
CJ048 HOSPITAL SAO JOSE DO AVAI - ITAPERUNA - RJ,"R$1.060.147,01"
CJ051 CEMED CARE - DUQUE DE CAXIAS - RJ,"R$2.388,85"
CJ053 HOSPITAL SAMARITANO BOTAFOGO - RIO DE JANEIRO - RJ,"R$12.190,30"
CJ054 HOSPITAL PAULISTANO BELA VISTA - SAO PAULO - SP,"R$1.463.221,96"
