PONTUAL FARMACEUTICA
CONTROLADORA : PONTUAL FARMACÊUTICA NR2006
Resumo de vendas por cliente
01 Julho 2025 - 06 Fevereiro 2026


Cliente ,CNPJ/CPF ,Vendas ,Representante de vendas ,Parceiro ,UF 
- Sem Cliente/projeto -,,"-R$80.339,17",,,
CF1382 MARIA ANGELICA DUTRA VIESTEL,969.181.527-34,"R$3.226,60",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF1608 FLÁVIA B ANDRADE,07667577730,"R$2.510,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF5058 IGNACIO DE SOUZA MOITTA NETO,54642841768,"R$292.250,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF5381 JAEL PATRICIA SANTOS SOARES,77557689453,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,
CF5384 RITA TEREZA CUNHA PAES,98368648653,"R$15.043,68",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5410 DIEGO RIBEIRO,96264926000,"R$15.610,93",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RS
CF5462 BRUNA GOMIDE,06079916665,"R$3.095,05",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5543 ALEX REIS FERREIRA,01536845698,"R$14.017,96",ADRIANA PIRES DE ARAUJO,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5568 GABRIEL LEIVAS PROTO,00118409000,"R$17.273,16",ADRIANA PIRES DE ARAUJO,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RS
CF5573 GERMANO DALFITO,38753254864,"R$2.336,33",,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5577 ALEXANDRE DURAO ALVES PEREIRA,09402246746,"R$2.336,33",,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF5643 ALINE CRISTINA FIORAVANTI LUIS ALIONIS,21593016808,"R$7.229,40",,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5644 VINICIUS PAGANINI NASCIMENTO,14793392881,"R$18.890,08",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5666 JACQUELINE MENDONÇA LOPES DE FARIA,15003251807,"R$2.336,33",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5669 ELIANA SOUZA RODRIGUES,90737466120,"R$32.708,70",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RO
CF5687 PABLO FELIPE RODRIGUES,27735526873,"R$2.336,33",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5699 VERONICA FRANCO DE CASTRO LIMA,80489940544,"R$7.008,99",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,BA
CF5705 LUCAS PEREZ VICENTE,32732366803,"R$49.541,54",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,CE
CF5712 PAULO DE SOUZA SEGUNDO,02969385481,"R$16.457,17",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RN
CF5722 SONIA VERVLOET BRAZ,76949028253,"R$82.146,34",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RO
CF5739 RAFAEL C ASTORGA,05611525946,"R$25.699,67",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SC
CF5740 RICARDO AZEVEDO PONTES DE CARVALHO,88515087472,"-R$1.431,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PB
CF5741 Leonardo Ferreira Jorge,03629319688,"R$25.390,04",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5764 Theodomiro Lourenço Garrido Neto,33726167234,"R$16.354,30",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,AM
CF5765 VINICIUS CLEMENTINO FALCAO,32258047897,"R$7.008,98",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5806 Somaia M Teixeira,24999137895,"R$23.363,27",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5814 LUIZ ANTONIO DE CARVALHO  CAVALCANTI AUGUSTO,22848349735,"R$704.411,25",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF5817 RICARDO TORRES SOARES,48551007653,"R$25.699,60",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5832 Carlos A Jorge,02702917844,"R$4.672,66",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5838 GUSTAVO SOUZA CAMPOS,06321969630,"R$32.283,83",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5845 Lorival M Cardoso,11869488091,"R$7.009,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RS
CF5862 Aníbal Mutti,31028919859,"R$2.336,33",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5877 HUGO ALISSANDRO BERNANDES DE ALCANTARA,02640650939,"R$7.009,01",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PR
CF5881 HIDEKI B HIROTA,00478966121,"R$16.553,74",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MT
CF5887 Gustavo H Araujo Salomao,27086643874,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5915 MARCELA FERREIRA CORDELLINI,06658835950,"R$5.647,79",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,
CF5993 RODRIGO DANTAS NAGASHIMA,00825016452,"R$25.699,61",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,CE
CF6019 MAURICIO B LOUREIRO CELINO,91110815468,"R$7.008,98",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PB
CF6020 ROGER SIMÕES,10768855780,"R$11.681,64",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF6044 LUCIANO MOREIRA PINTO,70655545387,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF6057 FREDERICO LIRIO NASCIMENTO DA SILVA,09432774775,"R$34.195,39",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF6095 RAFAEL CARDOSO DE OLIVEIRA,87821788953,"R$116.816,76",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,
CF6105 MOISES AUGUSTO DELSIN GOMES,36934881850,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF6106 ICARO AUGUSTO GODINHO,07262352610,"R$7.008,99",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF6143 LUNARDE TADEU BIANCHETTI,13697790625,"R$6.265,62",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF6145 FERNANDO BALDESSIN MARIM,06862318721,"R$15.664,01",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF6167 RENATO VIEIRA GOMES,05444617706,"R$18.796,81",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,ES
CF6186 NATALIA DE CARVALHO DIAS,06349406435,"R$1.566,41",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PE
CF6209 ELIONALDO FREITAS,11732838461,"R$8,30",,,
CF6210 ISABELLA FELIX QUNTANILHA YAMANE,10886146712,"R$2.008,21",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CJ006 AMIL ASSISTENCIA MEDICA INTERNACIONAL - RIO DE JANEIRO - RJ,29309127012266,"R$3.122.230,43",BRUNA FARIA SÁ,13 COMERCIAL CAROLINE SOUSA LTDA,RJ
CJ011 HOSPITAL SANTA RITA DE CASSIA - VITORIA - ES,28137925000106,"R$364.364,00",MATEUS AUGUSTO LEME CRISPIM,6 785 JONATHAN REZENDE SERVICOS LTDA,ES
CJ013 AV FARMA ASSISTENCIA E SERVICOS FARMACEUTICOS - RIO DE JANEIRO - RJ,03605534000130,"R$15.442,24",ADRIANA PIRES DE ARAUJO,24 SANTANA CONSULTORIA EMPRESARIAL LTDA,RJ
