PONTUAL FARMACEUTICA
CONTROLADORA (Consolidado)
Resumo de vendas por cliente
01 Outubro 2025 - 10 Fevereiro 2026


Cliente ,Vendas 
CF5543 ALEX REIS FERREIRA,"R$7.008,98"
CF5568 GABRIEL LEIVAS PROTO,"R$10.141,80"
CF6215 MATEUS INACIO LEMES DE RESENDE,"R$4.699,20"
CJ006 AMIL ASSISTENCIA MEDICA INTERNACIONAL - RIO DE JANEIRO - RJ,"R$2.572.485,99"
CJ013 AV FARMA ASSISTENCIA E SERVICOS FARMACEUTICOS - RIO DE JANEIRO - RJ,"R$2.009,25"
CJ016 BRADESCO SAUDE - RIO DE JANEIRO - RJ,"R$7.204.937,74"
CJ020 CABERJ  - RIO DE JANEIRO - RJ,"-R$34.350,26"
CJ021 CASSI - RIO DE JANEIRO - RJ,"R$405.655,55"
CJ032 CTO - TRES RIOS - RJ,"R$25.824,00"
CJ033 CTO - PETROPOLIS - RJ,"R$237.957,80"
CJ045 CMS CENTRAL DE MANIPULACAO - BARRA DA TIJUCA - RJ,"R$116.204,67"
CJ046 COI CLINICAS ONCOLOGICAS INTEGRADAS - BARRA DA TIJUCA - RJ,"R$116.803,66"
CJ048 HOSPITAL SAO JOSE DO AVAI - ITAPERUNA - RJ,"R$293.522,71"
CJ054 HOSPITAL PAULISTANO BELA VISTA - SAO PAULO - SP,"R$351.889,49"
CJ058 ESHO EMPRESA DE SERVICOS HOSPITALARES - SAO PAULO - SP,"R$172.115,53"
CJ075 ASSIM SAUDE - RIO DE JANEIRO - RJ,"R$87.597,50"
CJ096 HOSPITAL ADVENTISTA SILVESTRE - RIO DE JANEIRO - RJ,"R$19.906,83"
CJ099 I.O.M. - MACAE - RJ,"R$298.445,15"
CJ102 SANTA CASA DE MISERICORDIA DE RIO CLARO - SP,"R$200.325,00"
CJ106 MEDCLINICA DO CENTRO DE TERESOPOLIS - RJ,"R$28.913,00"
CJ129 ONKO SOL ASSISTENCIA MEDICA ONCOLOGICA - CABO FRIO - RJ,"R$596.361,93"
