PONTUAL FARMACEUTICA
CONTROLADORA : PONTUAL FARMACÊUTICA NR2006
Resumo de vendas por cliente
01 Abril 2024 - 11 Fevereiro 2026


Cliente ,CNPJ/CPF ,Vendas ,Representante de vendas ,Parceiro ,UF 
- Sem Cliente/projeto -,,"-R$262.930.244,23",,,
CF1382 MARIA ANGELICA DUTRA VIESTEL,969.181.527-34,"R$5.976,69",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF1608 FLÁVIA B ANDRADE,07667577730,"R$7.905,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF3296 FLAVIA MARIA D FREITAS GUIMARÃES,08374417730,"R$43.500,00",,,RJ
CF4169 Rodrigo B da Silva,05269287781,"R$556,00",,,RJ
CF4319 Marcela P Soares,81247044653,"R$556,00",,,RJ
CF4379 ELZIANIR PEREIRA CÔRTES,62474618872,"R$202.417,60",,,RJ
CF4394 FERNANDA D PINHEIRO,01351330764,"R$556,00",,,RJ
CF4409 RITA DE CASSIA P PINHEIRO,53132602787,"R$1.112,00",,,RJ
CF4458 ELAINE CRISTINA DOS SANTOS DE ARAUJO,08036422700,"R$556,00",,,RJ
CF4462 ONILDE DE SOUZA SILVA,09012492700,"R$556,00",,,RJ
CF4465 SERGIO GAYOSO MONTEIRO FONSECA,04517873749,"R$556,00",,,RJ
CF4481 ELSO ALVES DE CASTRO,27413330768,"R$545,00",,,RJ
CF4547 PEDRO CAMPOS DE SOUSA,19804982706,"R$420,00",,,RJ
CF4553 LUZIA AQUINO SANTA ROSA,96037784787,"R$420,00",,,RJ
CF4554 HEITOR SOARES CARVALHO,20419869727,"R$840,00",,,RJ
CF4555 AMÉRICA FERREIRA DE ANDRADE,06715923787,"R$1.112,00",,,RJ
CF4557 JURACY ARAUJO,07248261734,"R$1.152,00",,,RJ
CF4564 ADRIANA MARIA D DE GUSMÃO COSTA SARMENTO,02889442403,"R$556,00",,,RJ
CF4571 MIGUEL RIBEIRO SELLA,20416552757,"R$556,00",,,RJ
CF4584 CARLOS ALBERTO DE ROSE SOUZA,33485666734,"R$556,00",,,RJ
CF4586 GILBERTO DA SILVA LEITE,33114277772,"R$556,00",,,RJ
CF4587 MARIA DAS NEVES DA SILVA,89836979700,"R$1.112,00",,,RJ
CF4588 DELVA PEREIRA MENDES,25986384768,"R$1.112,00",,,RJ
CF4594 MARIA DEOLINDA FERREIRA DA SILVA,03768010775,"R$556,00",,,RJ
CF4597 IRENE REIS DE AZEVEDO DA SILVA,28502531700,"R$556,00",,,RJ
CF4601 DANNYLO CAVALCANTI AUGUSTO,34726957813,"R$1.267.290,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF4610 CRISTIANE ALMEIDA RODRIGUES,11241992762,"R$556,00",,,RJ
CF4613 PATRÍCIA CORREA DA SILVA,14372397739,"R$556,00",,,RJ
CF4614 ENEIDA LIMA SAMUEL DE ALMEIDA,21213674700,"R$1.668,00",,,RJ
CF4620 MARIA MIRIAM DE OLIVEIRA,02937755755,"R$1.112,00",,,RJ
