PONTUAL FARMACEUTICA
CONTROLADORA : PONTUAL FARMACÊUTICA NR2006
Resumo de vendas por cliente
01 Outubro 2025 - 09 Fevereiro 2026


Cliente ,CNPJ/CPF ,Vendas ,Representante de vendas ,Parceiro ,UF 
- Sem Cliente/projeto -,,"R$28.498,26",,,
CF1382 MARIA ANGELICA DUTRA VIESTEL,969.181.527-34,"R$3.226,60",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF1608 FLÁVIA B ANDRADE,07667577730,"R$2.510,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF5058 IGNACIO DE SOUZA MOITTA NETO,54642841768,"R$167.000,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RJ
CF5381 JAEL PATRICIA SANTOS SOARES,77557689453,"R$16.354,29",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,
CF5384 RITA TEREZA CUNHA PAES,98368648653,"R$7.521,84",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5410 DIEGO RIBEIRO,96264926000,"R$13.274,60",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RS
CF5462 BRUNA GOMIDE,06079916665,"R$3.095,05",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5543 ALEX REIS FERREIRA,01536845698,"R$7.008,98",ADRIANA PIRES DE ARAUJO,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,MG
CF5568 GABRIEL LEIVAS PROTO,00118409000,"R$10.141,80",ADRIANA PIRES DE ARAUJO,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RS
CF5644 VINICIUS PAGANINI NASCIMENTO,14793392881,"R$14.217,42",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,SP
CF5669 ELIANA SOUZA RODRIGUES,90737466120,"R$16.354,35",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RO
CF5705 LUCAS PEREZ VICENTE,32732366803,"R$24.770,77",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,CE
CF5722 SONIA VERVLOET BRAZ,76949028253,"R$41.073,17",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,RO
CF5740 RICARDO AZEVEDO PONTES DE CARVALHO,88515087472,"-R$1.431,00",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,PB
CF5764 Theodomiro Lourenço Garrido Neto,33726167234,"R$16.354,30",CARTEIRA INTERNA,16 CARTEIRA INTERNA- PONTUAL FARMACÊUTICA,AM
